
time 01h 05m 56s, episodes 1292, frames 0.552M, mean epr 1.985
time 01h 06m 06s, episodes 1292, frames 0.554M, mean epr 1.985
time 01h 06m 17s, episodes 1292, frames 0.555M, mean epr 1.985
time 01h 06m 27s, episodes 1292, frames 0.557M, mean epr 1.985
time 01h 06m 37s, episodes 1292, frames 0.558M, mean epr 1.985
time 01h 06m 47s, episodes 1292, frames 0.560M, mean epr 1.985
time 01h 06m 57s, episodes 1294, frames 0.561M, mean epr 1.996
time 01h 07m 07s, episodes 1296, frames 0.563M, mean epr 2.006
time 01h 07m 18s, episodes 1296, frames 0.564M, mean epr 2.006
time 01h 07m 28s, episodes 1297, frames 0.565M, mean epr 1.986
time 01h 07m 38s, episodes 1298, frames 0.567M, mean epr 1.966
time 01h 07m 48s, episodes 1298, frames 0.568M, mean epr 1.966
time 01h 07m 58s, episodes 1298, frames 0.570M, mean epr 1.966
time 01h 08m 08s, episodes 1298, frames 0.571M, mean epr 1.966
time 01h 08m 18s, episodes 1298, frames 0.573M, mean epr 1.966
